Year,Model,Region,Units Sold,Revenue in EUR millions,Average Transaction Price in EUR,Customer Satisfaction Score (1-10),Dealer Count,Electric vs ICE vs Hybrid classification
2018,911,North America,10316,1715.76,166320.0,9.3,205,ICE
2018,718,North America,7178,651.19,90720.0,8.8,205,ICE
2018,Macan,North America,24949,2101.7,84240.0,8.6,205,ICE
2018,Cayenne,North America,12019,1453.82,120960.0,8.8,205,ICE
2018,Cayenne,North America,8704,1168.65,134266.0,8.8,205,Hybrid
2018,Panamera,North America,4236,585.58,138240.0,8.7,205,ICE
2018,Panamera,North America,6912,1060.62,153446.0,8.7,205,Hybrid
2018,911,Europe,9961,1580.01,158620.0,9.2,310,ICE
2018,718,Europe,6930,599.58,86520.0,8.7,310,ICE
2018,Macan,Europe,24089,1935.31,80340.0,8.5,310,ICE
2018,Cayenne,Europe,11605,1338.75,115360.0,8.7,310,ICE
2018,Cayenne,Europe,8403,1076.0,128050.0,8.8,310,Hybrid
2018,Panamera,Europe,4090,539.23,131840.0,8.6,310,ICE
2018,Panamera,Europe,6674,976.69,146342.0,8.7,310,Hybrid
2018,911,China,11028,1936.08,175560.0,9.1,155,ICE
2018,718,China,7672,734.67,95760.0,8.6,155,ICE
2018,Macan,China,26671,2371.59,88920.0,8.4,155,ICE
2018,Cayenne,China,12848,1640.43,127680.0,8.6,155,ICE
2018,Cayenne,China,9304,1318.61,141725.0,8.6,155,Hybrid
2018,Panamera,China,4528,660.73,145920.0,8.5,155,ICE
2018,Panamera,China,7389,1196.81,161971.0,8.5,155,Hybrid
2018,911,Asia Pacific,2846,442.67,155540.0,9.2,118,ICE
2018,718,Asia Pacific,1980,167.98,84840.0,8.7,118,ICE
2018,Macan,Asia Pacific,6882,542.16,78780.0,8.5,118,ICE
2018,Cayenne,Asia Pacific,3316,375.11,113120.0,8.7,118,ICE
2018,Cayenne,Asia Pacific,2401,301.48,125563.0,8.8,118,Hybrid
2018,Panamera,Asia Pacific,1168,151.0,129280.0,8.6,118,ICE
2018,Panamera,Asia Pacific,1906,273.51,143501.0,8.7,118,Hybrid
2018,911,Rest of World,1423,210.38,147840.0,9.2,86,ICE
2018,718,Rest of World,990,79.83,80640.0,8.7,86,ICE
2018,Macan,Rest of World,3441,257.66,74880.0,8.5,86,ICE
2018,Cayenne,Rest of World,1658,178.27,107520.0,8.7,86,ICE
2018,Cayenne,Rest of World,1200,143.22,119347.0,8.7,86,Hybrid
2018,Panamera,Rest of World,584,71.76,122880.0,8.6,86,ICE
2018,Panamera,Rest of World,954,130.12,136397.0,8.6,86,Hybrid
2019,911,North America,10092,1713.75,169813.0,9.3,207,ICE
2019,718,North America,5935,549.73,92625.0,8.8,207,ICE
2019,Macan,North America,28984,2492.89,86009.0,8.6,207,ICE
2019,Cayenne,North America,15484,1912.28,123500.0,8.8,207,ICE
2019,Cayenne,North America,11212,1537.0,137085.0,8.8,207,Hybrid
2019,Panamera,North America,3588,506.42,141143.0,8.7,207,ICE
2019,Panamera,North America,5855,917.3,156669.0,8.7,207,Hybrid
2019,Taycan,North America,282,44.4,157441.0,9.0,207,Electric
2019,911,Europe,9396,1521.69,161951.0,9.3,311,ICE
2019,718,Europe,5526,488.15,88337.0,8.8,311,ICE
2019,Macan,Europe,26985,2213.5,82027.0,8.6,311,ICE
2019,Cayenne,Europe,14416,1697.95,117783.0,8.8,311,ICE
2019,Cayenne,Europe,10439,1364.78,130739.0,8.8,311,Hybrid
2019,Panamera,Europe,3341,449.73,134609.0,8.7,311,ICE
2019,Panamera,Europe,5451,814.46,149416.0,8.7,311,Hybrid
2019,Taycan,Europe,262,39.34,150152.0,8.9,311,Electric
2019,911,China,10788,1933.71,179247.0,9.1,156,ICE
2019,718,China,6345,620.36,97771.0,8.6,156,ICE
2019,Macan,China,30983,2812.86,90787.0,8.4,156,ICE
2019,Cayenne,China,16551,2157.61,130361.0,8.6,156,ICE
2019,Cayenne,China,11986,1734.39,144701.0,8.6,156,Hybrid
2019,Panamera,China,3836,571.5,148984.0,8.5,156,ICE
2019,Panamera,China,6258,1034.9,165373.0,8.5,156,Hybrid
2019,Taycan,China,301,50.02,166187.0,8.8,156,Electric
2019,911,Asia Pacific,3132,497.38,158806.0,9.3,120,ICE
2019,718,Asia Pacific,1842,159.56,86622.0,8.8,120,ICE
2019,Macan,Asia Pacific,8995,723.51,80434.0,8.6,120,ICE
2019,Cayenne,Asia Pacific,4805,554.96,115496.0,8.8,120,ICE
2019,Cayenne,Asia Pacific,3480,446.14,128200.0,8.8,120,Hybrid
2019,Panamera,Asia Pacific,1114,147.04,131995.0,8.7,120,ICE
2019,Panamera,Asia Pacific,1817,266.22,146514.0,8.7,120,Hybrid
2019,Taycan,Asia Pacific,87,12.81,147236.0,8.9,120,Electric
2019,911,Rest of World,1392,210.11,150945.0,9.2,87,ICE
2019,718,Rest of World,819,67.43,82333.0,8.7,87,ICE
2019,Macan,Rest of World,3998,305.66,76452.0,8.5,87,ICE
